"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0282_26_repbCallospermophilus lateralis","DESC27","DESC_0282_26","repb","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",3964,100,"Chordata","DESC_0282_26",21842,"repb",8210,"Callospermophilus lateralis",10982,0.50279278454354
"DESC_0282_26_repbTamias sp","DESC27","DESC_0282_26","repb","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",4246,99.505,"Chordata","DESC_0282_26",21842,"repb",8210,"Tamias sp",10860,0.49720721545646
"DESC_0282_26_repcCallospermophilus lateralis","DESC27","DESC_0282_26","repc","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",3462,100,"Chordata","DESC_0282_26",21842,"repc",6946,"Callospermophilus lateralis",10982,0.50279278454354
"DESC_0282_26_repcTamias sp","DESC27","DESC_0282_26","repc","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",3484,99.505,"Chordata","DESC_0282_26",21842,"repc",6946,"Tamias sp",10860,0.49720721545646
"DESC_0282_28_repaCallospermophilus lateralis","DESC29","DESC_0282_28","repa","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",2796,100,"Chordata","DESC_0282_28",18002,"repa",5954,"Callospermophilus lateralis",8978,0.498722364181758
"DESC_0282_28_repaTamias sp","DESC29","DESC_0282_28","repa","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",3158,99.505,"Chordata","DESC_0282_28",18002,"repa",5954,"Tamias sp",9024,0.501277635818242
"DESC_0282_28_repbCallospermophilus lateralis","DESC29","DESC_0282_28","repb","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",3876,100,"Chordata","DESC_0282_28",18002,"repb",7600,"Callospermophilus lateralis",8978,0.498722364181758
"DESC_0282_28_repbTamias sp","DESC29","DESC_0282_28","repb","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",3724,99.505,"Chordata","DESC_0282_28",18002,"repb",7600,"Tamias sp",9024,0.501277635818242
"DESC_0282_28_repcCallospermophilus lateralis","DESC29","DESC_0282_28","repc","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",2306,100,"Chordata","DESC_0282_28",18002,"repc",4448,"Callospermophilus lateralis",8978,0.498722364181758
"DESC_0282_28_repcTamias sp","DESC29","DESC_0282_28","repc","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",2142,99.505,"Chordata","DESC_0282_28",18002,"repc",4448,"Tamias sp",9024,0.501277635818242
