"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0637_15","DESC189","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,46512,11596,46512,1,1
"DESC_0637_15","DESC189","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,46512,15084,46512,1,1
"DESC_0637_19","DESC193","repa","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",100,2767,1310,385,0.139139862667149,1
"DESC_0637_19","DESC193","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,2767,1310,2382,0.860860137332851,1
"DESC_0637_19","DESC193","repb","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",100,2767,628,385,0.139139862667149,1
"DESC_0637_19","DESC193","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,2767,628,2382,0.860860137332851,1
"DESC_0637_19","DESC193","repc","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",100,2767,829,385,0.139139862667149,1
"DESC_0637_19","DESC193","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,2767,829,2382,0.860860137332851,1
"DESC_0637_20","DESC194","repa","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",100,6596,2806,5228,0.792601576713159,1
"DESC_0637_20","DESC194","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,6596,2806,1368,0.207398423286841,1
"DESC_0637_20","DESC194","repb","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",100,6596,2144,5228,0.792601576713159,1
"DESC_0637_20","DESC194","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,6596,2144,1368,0.207398423286841,1
"DESC_0637_20","DESC194","repc","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",100,6596,1646,5228,0.792601576713159,1
"DESC_0637_20","DESC194","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,6596,1646,1368,0.207398423286841,1
"DESC_0637_5","DESC179","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,12664,3386,12664,1,1
"DESC_0637_5","DESC179","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,12664,5074,12664,1,1
"DESC_0637_5","DESC179","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,12664,4204,12664,1,1
"DESC_0637_6","DESC180","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,3332,1226,3332,1,1
"DESC_0637_6","DESC180","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,3332,992,3332,1,1
"DESC_0637_6","DESC180","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,3332,1114,3332,1,1
"JEFF_0424_13","JEFF13","repa","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,21300,3724,5230,0.245539906103286,1
